country,year,value,variable,GCM,SRES,iso
Djibouti,2012,0.186389585,HDD,CCSM3x,A2,dji
Israel,2012,1147.087897,HDD,CCSM3x,A2,isr
El Salvador,2012,0.573138294,HDD,CCSM3x,A2,slv
Slovenia,2012,5542.846241,HDD,CCSM3x,A2,svn
Vanuatu,2012,0.305136676,HDD,CCSM3x,A2,vut
French Polynesia,2012,0,HDD,CCSM3x,A2,pyf
Kuwait,2012,689.4329417,HDD,CCSM3x,A2,kwt
Swaziland,2012,443.2981977,HDD,CCSM3x,A2,swz
Timor-Leste,2012,0.50261792,HDD,CCSM3x,A2,tls
Jamaica,2012,0.504673923,HDD,CCSM3x,A2,jam
Qatar,2012,176.7065623,HDD,CCSM3x,A2,qat
The Gambia,2012,0.065863339,HDD,CCSM3x,A2,gmb
Cyprus,2012,1546.510915,HDD,CCSM3x,A2,cyp
Lebanon,2012,2417.103108,HDD,CCSM3x,A2,lbn
Puerto Rico,2012,0,HDD,CCSM3x,A2,pri
Cape Verde,2012,4.16222964,HDD,CCSM3x,A2,cpv
Trinidad &#38; Tobago,2012,0,HDD,CCSM3x,A2,tto
Brunei,2012,0,HDD,CCSM3x,A2,brn
Occupied Palestinian Territory,2012,1370.308307,HDD,CCSM3x,A2,pse
Samoa,2012,0,HDD,CCSM3x,A2,wsm
Guadeloupe,2012,0,HDD,CCSM3x,A2,glp
Reunion,2012,0,HDD,CCSM3x,A2,reu
Comoros,2012,0.141700815,HDD,CCSM3x,A2,com
Luxembourg,2012,5629.854225,HDD,CCSM3x,A2,lux
Hong Kong,2012,0,HDD,CCSM3x,A2,hkg
Singapore,2012,0,HDD,CCSM3x,A2,sgp
Western Sahara,2012,181.2057439,HDD,CCSM3x,A2,esh
Russia,2013,8820.280317,HDD,CCSM3x,A2,rus
Canada,2013,7612.380598,HDD,CCSM3x,A2,can
United States,2013,4035.182285,HDD,CCSM3x,A2,usa
China,2013,4004.25716,HDD,CCSM3x,A2,chn
Brazil,2013,243.6383601,HDD,CCSM3x,A2,bra
Australia,2013,1822.570988,HDD,CCSM3x,A2,aus
India,2013,275.0223207,HDD,CCSM3x,A2,ind
Argentina,2013,1874.181713,HDD,CCSM3x,A2,arg
Kazakhstan,2013,7906.011347,HDD,CCSM3x,A2,kaz
Sudan,2013,12.61714623,HDD,CCSM3x,A2,sdn
Algeria,2013,2037.571384,HDD,CCSM3x,A2,dza
Congo DRC,2013,55.16293694,HDD,CCSM3x,A2,cod
Indonesia,2013,0.297726049,HDD,CCSM3x,A2,idn
Mexico,2013,1138.55486,HDD,CCSM3x,A2,mex
Saudi Arabia,2013,299.815661,HDD,CCSM3x,A2,sau
Libya,2013,999.1159319,HDD,CCSM3x,A2,lby
Iran,2013,3791.110303,HDD,CCSM3x,A2,irn
Mongolia,2013,12324.53697,HDD,CCSM3x,A2,mng
Peru,2013,2331.235277,HDD,CCSM3x,A2,per
Chad,2013,5.835955846,HDD,CCSM3x,A2,tcd
Angola,2013,72.84989526,HDD,CCSM3x,A2,ago
Mali,2013,1.326445288,HDD,CCSM3x,A2,mli
South Africa,2013,1269.42411,HDD,CCSM3x,A2,zaf
Niger,2013,7.612134029,HDD,CCSM3x,A2,ner
Colombia,2013,791.4220242,HDD,CCSM3x,A2,col
Ethiopia,2013,439.5808606,HDD,CCSM3x,A2,eth
Bolivia,2013,3048.841048,HDD,CCSM3x,A2,bol
Mauritania,2013,4.220169303,HDD,CCSM3x,A2,mrt
Egypt,2013,764.0664911,HDD,CCSM3x,A2,egy
Venezuela,2013,6.315025622,HDD,CCSM3x,A2,ven
Nigeria,2013,1.04377365,HDD,CCSM3x,A2,nga
Tanzania,2013,38.5512243,HDD,CCSM3x,A2,tza
Namibia,2013,506.962673,HDD,CCSM3x,A2,nam
